symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
LICI,422.85,-0.25,4.47,5.12,19.28,-4.56,68.3,126,2.45,1.35,21.76,-12.57,53.0,83.0,447.6,352.49,2026-07-31
NORTHARC,285.9,-1.0,7.74,5.7,38.22,-12.11,62.7,126,15.76,15.37,44.11,-14.38,78.3,83.0,334.0,206.0,2026-07-31
HIKAL,216.99,-1.98,11.23,11.16,47.53,-11.68,79.4,126,9.75,6.72,50.52,-27.49,66.3,83.0,252.8,146.25,2026-07-31
ITC,285.05,-0.42,-3.18,-3.0,3.45,-11.92,21.4,126,-4.05,-4.68,3.8,-13.92,20.5,83.0,325.39,275.0,2026-07-31
J&KBANK,153.74,-0.58,16.43,16.61,51.11,-20.2,71.4,126,30.79,29.9,56.35,11.87,100.0,83.0,201.75,98.61,2026-07-31
ONEPOINT,57.08,0.9,8.16,5.4,37.91,-11.5,66.7,126,15.97,18.5,38.49,-13.81,81.9,83.0,65.85,40.58,2026-07-31
KOTHARIPET,134.25,-3.32,10.02,9.54,42.15,-8.77,86.4,125,9.86,11.11,31.43,-8.52,86.6,82.0,153.75,94.08,2026-07-31
TITAN,4850.0,-0.0,13.65,13.96,26.29,-0.0,99.2,126,4.2,5.13,13.48,-5.84,73.5,83.0,4869.9,3812.49,2026-07-31
JLHL,332.4,1.62,26.29,29.07,38.62,1.25,100.0,126,6.88,5.32,35.68,-14.05,71.1,83.0,340.0,235.42,2026-07-31
SAMHI,186.07,2.39,15.59,13.6,45.2,1.0,100.0,126,3.23,1.88,37.68,-23.88,51.8,83.0,188.23,127.0,2026-07-31
TEXRAIL,110.39,-1.75,3.88,1.93,40.09,-14.26,61.9,126,3.67,4.47,36.62,-33.83,61.4,83.0,131.06,78.05,2026-07-31
COHANCE,425.3,-1.39,12.52,1.45,51.95,-13.78,56.3,126,24.59,34.09,54.51,-41.21,78.3,83.0,514.9,266.7,2026-07-31
TRIDENT,24.71,-0.6,-0.83,-1.65,14.34,-13.83,39.7,126,1.36,0.75,18.44,-10.24,55.4,83.0,30.31,21.53,2026-07-31
TATAELXSI,3658.3,-0.41,-12.34,-12.08,7.99,-32.42,10.3,126,-12.8,-14.11,3.73,-24.24,6.0,83.0,5537.2,3353.9,2026-07-31
EIDPARRY,763.2,-2.02,-4.82,-4.14,8.39,-18.13,28.8,125,-10.01,-10.01,-2.89,-19.12,0.0,82.0,942.15,698.2,2026-07-31
TTKPRESTIG,656.6,-3.03,23.23,23.66,54.81,-5.49,93.7,126,8.5,3.21,45.63,-27.14,55.4,83.0,734.97,418.48,2026-07-31
SHRINGARMS,219.9,0.19,3.9,3.66,31.76,-16.02,69.0,126,0.75,-1.24,31.63,-23.81,45.8,83.0,266.5,166.0,2026-07-31
ASTRAL,1471.9,-0.3,-3.9,-4.98,11.75,-15.71,21.4,126,-3.6,-5.33,17.94,-18.17,31.3,83.0,1768.7,1311.6,2026-07-31
NESTLEIND,1520.7,1.16,13.2,9.79,30.96,1.16,100.0,126,10.69,11.74,23.12,-7.19,88.0,83.0,1532.6,1153.85,2026-07-31
JSL,737.75,1.27,0.13,0.21,11.46,-10.31,54.8,126,-4.83,-4.03,4.74,-16.2,8.4,83.0,835.95,652.25,2026-07-31
BOMDYEING,118.96,-1.38,1.01,-1.1,28.75,-13.55,43.7,126,10.29,9.79,43.85,-20.36,79.5,83.0,140.53,91.69,2026-07-31
63MOONS,847.35,8.85,32.74,29.23,80.17,8.85,100.0,126,11.37,10.28,41.81,-30.13,81.9,83.0,874.05,467.0,2026-07-31
ESTER,88.08,-0.98,-4.63,-4.29,24.64,-18.44,8.7,126,-1.42,-2.33,27.17,-18.8,26.5,83.0,109.79,68.55,2026-07-31
WINDLAS,859.9,0.16,6.82,5.76,22.76,-3.15,88.8,125,5.56,6.6,17.56,-9.38,79.3,82.0,921.54,692.17,2026-07-31
BLUEJET,612.45,1.61,38.97,38.63,87.15,-1.86,99.2,126,22.95,22.02,61.98,-32.05,81.9,83.0,630.0,325.0,2026-07-31
JTEKTINDIA,134.84,0.41,0.74,0.74,14.71,-11.28,56.3,126,-0.95,-2.35,21.25,-21.04,41.0,83.0,164.8,117.01,2026-07-31
GRINDWELL,2101.8,-0.8,22.31,26.69,56.81,-11.77,90.4,125,22.66,20.28,62.64,-9.04,85.4,82.0,2455.0,1316.5,2026-07-31
VIJAYA,1360.2,-0.86,21.62,19.15,57.91,-3.7,88.9,126,28.05,28.1,57.16,-14.9,94.0,83.0,1440.0,848.0,2026-07-31
